"``clams-python`` version","``mmif-python`` version","Target MMIF Specification"
`1.2.6 <https://pypi.org/project/clams-python/1.2.6/>`__,`1.0.18 <https://pypi.org/project/mmif-python/1.0.18/>`__,`1.0.5 <https://mmif.clams.ai/1.0.5/>`__
`1.2.5 <https://pypi.org/project/clams-python/1.2.5/>`__,`1.0.17 <https://pypi.org/project/mmif-python/1.0.17/>`__,`1.0.5 <https://mmif.clams.ai/1.0.5/>`__
`1.2.4 <https://pypi.org/project/clams-python/1.2.4/>`__,`1.0.16 <https://pypi.org/project/mmif-python/1.0.16/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.2.3 <https://pypi.org/project/clams-python/1.2.3/>`__,`1.0.15 <https://pypi.org/project/mmif-python/1.0.15/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.2.2 <https://pypi.org/project/clams-python/1.2.2/>`__,`1.0.14 <https://pypi.org/project/mmif-python/1.0.14/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.2.1 <https://pypi.org/project/clams-python/1.2.1/>`__,`1.0.13 <https://pypi.org/project/mmif-python/1.0.13/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.2.0 <https://pypi.org/project/clams-python/1.2.0/>`__,`1.0.13 <https://pypi.org/project/mmif-python/1.0.13/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.1.6 <https://pypi.org/project/clams-python/1.1.6/>`__,`1.0.13 <https://pypi.org/project/mmif-python/1.0.13/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.1.5 <https://pypi.org/project/clams-python/1.1.5/>`__,`1.0.11 <https://pypi.org/project/mmif-python/1.0.11/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.1.4 <https://pypi.org/project/clams-python/1.1.4/>`__,`1.0.11 <https://pypi.org/project/mmif-python/1.0.11/>`__,`1.0.4 <https://mmif.clams.ai/1.0.4/>`__
`1.1.3 <https://pypi.org/project/clams-python/1.1.3/>`__,`1.0.10 <https://pypi.org/project/mmif-python/1.0.10/>`__,`1.0.2 <https://mmif.clams.ai/1.0.2/>`__
`1.1.2 <https://pypi.org/project/clams-python/1.1.2/>`__,`1.0.9 <https://pypi.org/project/mmif-python/1.0.9/>`__,`1.1.0 <https://mmif.clams.ai/1.1.0/>`__
`1.1.1 <https://pypi.org/project/clams-python/1.1.1/>`__,`1.0.8 <https://pypi.org/project/mmif-python/1.0.8/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.1.0 <https://pypi.org/project/clams-python/1.1.0/>`__,`1.0.8 <https://pypi.org/project/mmif-python/1.0.8/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.9 <https://pypi.org/project/clams-python/1.0.9/>`__,`1.0.8 <https://pypi.org/project/mmif-python/1.0.8/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.8 <https://pypi.org/project/clams-python/1.0.8/>`__,`1.0.8 <https://pypi.org/project/mmif-python/1.0.8/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.7 <https://pypi.org/project/clams-python/1.0.7/>`__,`1.0.6 <https://pypi.org/project/mmif-python/1.0.6/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.6 <https://pypi.org/project/clams-python/1.0.6/>`__,`1.0.6 <https://pypi.org/project/mmif-python/1.0.6/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.5 <https://pypi.org/project/clams-python/1.0.5/>`__,`1.0.5 <https://pypi.org/project/mmif-python/1.0.5/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.4 <https://pypi.org/project/clams-python/1.0.4/>`__,`1.0.4 <https://pypi.org/project/mmif-python/1.0.4/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.3 <https://pypi.org/project/clams-python/1.0.3/>`__,`1.0.1 <https://pypi.org/project/mmif-python/1.0.1/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.2 <https://pypi.org/project/clams-python/1.0.2/>`__,`1.0.1 <https://pypi.org/project/mmif-python/1.0.1/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.1 <https://pypi.org/project/clams-python/1.0.1/>`__,`1.0.1 <https://pypi.org/project/mmif-python/1.0.1/>`__,`1.0.0 <https://mmif.clams.ai/1.0.0/>`__
`1.0.0 <https://pypi.org/project/clams-python/1.0.0/>`__,`1.0.0 <https://pypi.org/project/mmif-python/1.0.0/>`__,`0.5.0 <https://mmif.clams.ai/0.5.0/>`__
`0.6.3 <https://pypi.org/project/clams-python/0.6.3/>`__,`0.5.2 <https://pypi.org/project/mmif-python/0.5.2/>`__,`0.5.0 <https://mmif.clams.ai/0.5.0/>`__
`0.6.2 <https://pypi.org/project/clams-python/0.6.2/>`__,`0.5.2 <https://pypi.org/project/mmif-python/0.5.2/>`__,`0.5.0 <https://mmif.clams.ai/0.5.0/>`__
`0.6.1 <https://pypi.org/project/clams-python/0.6.1/>`__,`0.5.2 <https://pypi.org/project/mmif-python/0.5.2/>`__,`0.5.0 <https://mmif.clams.ai/0.5.0/>`__
